"","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","renta"
"1031",2012,"Renta neta media por persona","Menores de 16 años","Mujeres",8156
"1032",2011,"Renta neta media por persona","Menores de 16 años","Mujeres",8188
"1033",2010,"Renta neta media por persona","Menores de 16 años","Mujeres",8224
"1034",2009,"Renta neta media por persona","Menores de 16 años","Mujeres",8306
"1035",2008,"Renta neta media por persona","Menores de 16 años","Mujeres",7963
"1036",2022,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",17761
"1037",2021,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",16596
"1038",2020,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",16561
"1039",2019,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",16012
"1040",2018,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",16075
"1041",2017,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",15104
"1042",2016,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14579
"1043",2015,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14388
"1044",2014,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14083
"1045",2013,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14227
"1046",2012,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14782
"1047",2011,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14784
"1048",2010,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14825
"1049",2009,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",15052
"1050",2008,"Renta media por unidad de consumo","Menores de 16 años","Mujeres",14363
"1051",2022,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",11016
"1052",2021,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",10332
"1053",2020,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",10298
"1054",2019,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9961
"1055",2018,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",10000
"1056",2017,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9400
"1057",2016,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9019
"1058",2015,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",8910
"1059",2014,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",8755
"1060",2013,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",8761
"1061",2012,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9039
"1062",2011,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9198
"1063",2010,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9195
"1064",2009,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",9126
"1065",2008,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Mujeres",8811
"1066",2022,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",20000
"1067",2021,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",18731
"1068",2020,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",18583
"1069",2019,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",17986
"1070",2018,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",18047
"1071",2017,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16981
"1072",2016,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16306
"1073",2015,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16054
"1074",2014,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",15761
"1075",2013,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",15767
"1076",2012,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16367
"1077",2011,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16592
"1078",2010,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16565
"1079",2009,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",16527
"1080",2008,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Mujeres",15881
"1081",2022,"Renta neta media por persona","De 16 a 29 años","Mujeres",11487
"1082",2021,"Renta neta media por persona","De 16 a 29 años","Mujeres",10836
"1083",2020,"Renta neta media por persona","De 16 a 29 años","Mujeres",11170
"1084",2019,"Renta neta media por persona","De 16 a 29 años","Mujeres",10426
"1085",2018,"Renta neta media por persona","De 16 a 29 años","Mujeres",9785
"1086",2017,"Renta neta media por persona","De 16 a 29 años","Mujeres",9818
"1087",2016,"Renta neta media por persona","De 16 a 29 años","Mujeres",9406
"1088",2015,"Renta neta media por persona","De 16 a 29 años","Mujeres",8963
"1089",2014,"Renta neta media por persona","De 16 a 29 años","Mujeres",9037
"1090",2013,"Renta neta media por persona","De 16 a 29 años","Mujeres",9403
"1091",2012,"Renta neta media por persona","De 16 a 29 años","Mujeres",9528
"1092",2011,"Renta neta media por persona","De 16 a 29 años","Mujeres",9715
"1093",2010,"Renta neta media por persona","De 16 a 29 años","Mujeres",10322
"1094",2009,"Renta neta media por persona","De 16 a 29 años","Mujeres",10394
"1095",2008,"Renta neta media por persona","De 16 a 29 años","Mujeres",10090
"1096",2022,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",17744
"1097",2021,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",16728
"1098",2020,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",17150
"1099",2019,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",16097
"1100",2018,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",14940
"1101",2017,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",15114
"1102",2016,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",14437
"1103",2015,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",13895
"1104",2014,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",13853
"1105",2013,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",14428
"1106",2012,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",14695
"1107",2011,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",14972
"1108",2010,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",15881
"1109",2009,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",16071
"1110",2008,"Renta media por unidad de consumo","De 16 a 29 años","Mujeres",15614
"1111",2022,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",12968
"1112",2021,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",12309
"1113",2020,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",12587
"1114",2019,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11705
"1115",2018,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11074
"1116",2017,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11097
"1117",2016,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10623
"1118",2015,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10093
"1119",2014,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10164
"1120",2013,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10412
"1121",2012,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10619
"1122",2011,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",10919
"1123",2010,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11520
"1124",2009,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11441
"1125",2008,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Mujeres",11152
"1126",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",20001
"1127",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",18947
"1128",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",19305
"1129",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",18054
"1130",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",16901
"1131",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",17070
"1132",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",16282
"1133",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",15627
"1134",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",15570
"1135",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",15966
"1136",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",16338
"1137",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",16780
"1138",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",17684
"1139",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",17652
"1140",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Mujeres",17245
"1141",2022,"Renta neta media por persona","De 30 a 44 años","Mujeres",12416
"1142",2021,"Renta neta media por persona","De 30 a 44 años","Mujeres",11692
"1143",2020,"Renta neta media por persona","De 30 a 44 años","Mujeres",11381
"1144",2019,"Renta neta media por persona","De 30 a 44 años","Mujeres",10935
"1145",2018,"Renta neta media por persona","De 30 a 44 años","Mujeres",10963
"1146",2017,"Renta neta media por persona","De 30 a 44 años","Mujeres",10753
"1147",2016,"Renta neta media por persona","De 30 a 44 años","Mujeres",10199
"1148",2015,"Renta neta media por persona","De 30 a 44 años","Mujeres",10042
"1149",2014,"Renta neta media por persona","De 30 a 44 años","Mujeres",10022
"1150",2013,"Renta neta media por persona","De 30 a 44 años","Mujeres",10267
"1151",2012,"Renta neta media por persona","De 30 a 44 años","Mujeres",10538
"1152",2011,"Renta neta media por persona","De 30 a 44 años","Mujeres",10832
"1153",2010,"Renta neta media por persona","De 30 a 44 años","Mujeres",11255
"1154",2009,"Renta neta media por persona","De 30 a 44 años","Mujeres",11207
"1155",2008,"Renta neta media por persona","De 30 a 44 años","Mujeres",10543
"1156",2022,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",18992
"1157",2021,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",17852
"1158",2020,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",17497
"1159",2019,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",16934
"1160",2018,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",17058
"1161",2017,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",16562
"1162",2016,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",15730
"1163",2015,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",15384
"1164",2014,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",15497
"1165",2013,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",15761
"1166",2012,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",16234
"1167",2011,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",16669
"1168",2010,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",17282
"1169",2009,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",17357
"1170",2008,"Renta media por unidad de consumo","De 30 a 44 años","Mujeres",16332
"1171",2022,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",14091
"1172",2021,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",13294
"1173",2020,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12929
"1174",2019,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12419
"1175",2018,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12364
"1176",2017,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12130
"1177",2016,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11467
"1178",2015,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11286
"1179",2014,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11235
"1180",2013,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11452
"1181",2012,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11757
"1182",2011,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12198
"1183",2010,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12611
"1184",2009,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",12330
"1185",2008,"Renta media por persona (con alquiler imputado)","De 30 a 44 años","Mujeres",11746
"1186",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",21466
"1187",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",20222
"1188",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",19801
"1189",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",19165
"1190",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",19188
"1191",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",18629
"1192",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",17637
"1193",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",17237
"1194",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",17337
"1195",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",17534
"1196",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",18052
"1197",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",18719
"1198",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",19311
"1199",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",19066
"1200",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 30 a 44 años","Mujeres",18156
"1201",2022,"Renta neta media por persona","De 45 a 64 años","Mujeres",14040
"1202",2021,"Renta neta media por persona","De 45 a 64 años","Mujeres",13331
"1203",2020,"Renta neta media por persona","De 45 a 64 años","Mujeres",13486
"1204",2019,"Renta neta media por persona","De 45 a 64 años","Mujeres",12988
"1205",2018,"Renta neta media por persona","De 45 a 64 años","Mujeres",12649
"1206",2017,"Renta neta media por persona","De 45 a 64 años","Mujeres",12312
"1207",2016,"Renta neta media por persona","De 45 a 64 años","Mujeres",12011
"1208",2015,"Renta neta media por persona","De 45 a 64 años","Mujeres",11616
"1209",2014,"Renta neta media por persona","De 45 a 64 años","Mujeres",11600
"1210",2013,"Renta neta media por persona","De 45 a 64 años","Mujeres",11943
"1211",2012,"Renta neta media por persona","De 45 a 64 años","Mujeres",12456
"1212",2011,"Renta neta media por persona","De 45 a 64 años","Mujeres",12603
"1213",2010,"Renta neta media por persona","De 45 a 64 años","Mujeres",13233
"1214",2009,"Renta neta media por persona","De 45 a 64 años","Mujeres",12855
"1215",2008,"Renta neta media por persona","De 45 a 64 años","Mujeres",12524
"1216",2022,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",20316
"1217",2021,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",19249
"1218",2020,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",19396
"1219",2019,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",18659
"1220",2018,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",18147
"1221",2017,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",17649
"1222",2016,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",17193
"1223",2015,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",16709
"1224",2014,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",16676
"1225",2013,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",17167
"1226",2012,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",17897
"1227",2011,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",18167
"1228",2010,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",19091
"1229",2009,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",18768
"1230",2008,"Renta media por unidad de consumo","De 45 a 64 años","Mujeres",18248
"1231",2022,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",16237
"1232",2021,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",15465
"1233",2020,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",15578
"1234",2019,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",15057
"1235",2018,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14701
"1236",2017,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14277
"1237",2016,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",13859
"1238",2015,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",13377
"1239",2014,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",13461
"1240",2013,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",13644
"1241",2012,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14270
"1242",2011,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14536
"1243",2010,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",15194
"1244",2009,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14661
"1245",2008,"Renta media por persona (con alquiler imputado)","De 45 a 64 años","Mujeres",14347
"1246",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",23362
"1247",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",22202
"1248",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",22279
"1249",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",21503
"1250",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",20966
"1251",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",20354
"1252",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",19727
"1253",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",19139
"1254",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",19233
"1255",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",19511
"1256",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",20386
"1257",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",20818
"1258",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",21785
"1259",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",21269
"1260",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 45 a 64 años","Mujeres",20785
"1261",2022,"Renta neta media por persona","65 y más años","Mujeres",14481
"1262",2021,"Renta neta media por persona","65 y más años","Mujeres",14031
"1263",2020,"Renta neta media por persona","65 y más años","Mujeres",13856
"1264",2019,"Renta neta media por persona","65 y más años","Mujeres",13112
"1265",2018,"Renta neta media por persona","65 y más años","Mujeres",12464
"1266",2017,"Renta neta media por persona","65 y más años","Mujeres",12217
"1267",2016,"Renta neta media por persona","65 y más años","Mujeres",12127
"1268",2015,"Renta neta media por persona","65 y más años","Mujeres",11833
"1269",2014,"Renta neta media por persona","65 y más años","Mujeres",11839
"1270",2013,"Renta neta media por persona","65 y más años","Mujeres",11688
"1271",2012,"Renta neta media por persona","65 y más años","Mujeres",11589
"1272",2011,"Renta neta media por persona","65 y más años","Mujeres",11150
"1273",2010,"Renta neta media por persona","65 y más años","Mujeres",11596
"1274",2009,"Renta neta media por persona","65 y más años","Mujeres",11455
"1275",2008,"Renta neta media por persona","65 y más años","Mujeres",10611
"1276",2022,"Renta media por unidad de consumo","65 y más años","Mujeres",18289
"1277",2021,"Renta media por unidad de consumo","65 y más años","Mujeres",17889
"1278",2020,"Renta media por unidad de consumo","65 y más años","Mujeres",17668
"1279",2019,"Renta media por unidad de consumo","65 y más años","Mujeres",16717
"1280",2018,"Renta media por unidad de consumo","65 y más años","Mujeres",15911
"1281",2017,"Renta media por unidad de consumo","65 y más años","Mujeres",15578
"1282",2016,"Renta media por unidad de consumo","65 y más años","Mujeres",15420
"1283",2015,"Renta media por unidad de consumo","65 y más años","Mujeres",15083
"1284",2014,"Renta media por unidad de consumo","65 y más años","Mujeres",15113
"1285",2013,"Renta media por unidad de consumo","65 y más años","Mujeres",14994
"1286",2012,"Renta media por unidad de consumo","65 y más años","Mujeres",14943
"1287",2011,"Renta media por unidad de consumo","65 y más años","Mujeres",14401
"1288",2010,"Renta media por unidad de consumo","65 y más años","Mujeres",15083
"1289",2009,"Renta media por unidad de consumo","65 y más años","Mujeres",14877
"1290",2008,"Renta media por unidad de consumo","65 y más años","Mujeres",13801
"1291",2022,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",17959
"1292",2021,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",17312
"1293",2020,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",17017
"1294",2019,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",16311
"1295",2018,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",15477
"1296",2017,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",15211
"1297",2016,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14956
"1298",2015,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14537
"1299",2014,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14819
"1300",2013,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14233
"1301",2012,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14327
"1302",2011,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",13936
"1303",2010,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14533
"1304",2009,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",14219
"1305",2008,"Renta media por persona (con alquiler imputado)","65 y más años","Mujeres",13437
"1306",2022,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",22425
"1307",2021,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",21821
"1308",2020,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",21466
"1309",2019,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",20550
"1310",2018,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",19506
"1311",2017,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",19161
"1312",2016,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18795
"1313",2015,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18326
"1314",2014,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18680
"1315",2013,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18053
"1316",2012,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18239
"1317",2011,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",17764
"1318",2010,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18618
"1319",2009,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",18194
"1320",2008,"Renta media por unidad de consumo (con alquiler imputado)","65 y más años","Mujeres",17187
"1321",2022,"Renta neta media por persona","Menos de 18 años","Mujeres",9799
"1322",2021,"Renta neta media por persona","Menos de 18 años","Mujeres",9197
"1323",2020,"Renta neta media por persona","Menos de 18 años","Mujeres",9238
"1324",2019,"Renta neta media por persona","Menos de 18 años","Mujeres",8917
"1325",2018,"Renta neta media por persona","Menos de 18 años","Mujeres",8830
"1326",2017,"Renta neta media por persona","Menos de 18 años","Mujeres",8439
"1327",2016,"Renta neta media por persona","Menos de 18 años","Mujeres",8136
"1328",2015,"Renta neta media por persona","Menos de 18 años","Mujeres",7962
"1329",2014,"Renta neta media por persona","Menos de 18 años","Mujeres",7811
"1330",2013,"Renta neta media por persona","Menos de 18 años","Mujeres",7847
"1331",2012,"Renta neta media por persona","Menos de 18 años","Mujeres",8165
"1332",2011,"Renta neta media por persona","Menos de 18 años","Mujeres",8187
"1333",2010,"Renta neta media por persona","Menos de 18 años","Mujeres",8264
"1334",2009,"Renta neta media por persona","Menos de 18 años","Mujeres",8341
"1335",2008,"Renta neta media por persona","Menos de 18 años","Mujeres",7976
"1336",2022,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",17557
"1337",2021,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",16463
"1338",2020,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",16489
"1339",2019,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",15932
"1340",2018,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",15784
"1341",2017,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",15069
"1342",2016,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14539
"1343",2015,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14225
"1344",2014,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",13949
"1345",2013,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",13998
"1346",2012,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14623
"1347",2011,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14653
"1348",2010,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14730
"1349",2009,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14952
"1350",2008,"Renta media por unidad de consumo","Menos de 18 años","Mujeres",14240
"1351",2022,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",11059
"1352",2021,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",10394
"1353",2020,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",10393
"1354",2019,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",10036
"1355",2018,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9940
"1356",2017,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9506
"1357",2016,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9119
"1358",2015,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",8907
"1359",2014,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",8767
"1360",2013,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",8720
"1361",2012,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9059
"1362",2011,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9209
"1363",2010,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9244
